name of plugin,plugin description - text
"napari-segment-blobs-and-things-with-membranes","napari-segment-blobs-and-things-with-membranes
A plugin based on scikit-image for segmenting nuclei and cells based on fluorescent microscopy images with high intensity in nuclei and/or membranes
A plugin based on scikit-image for segmenting nuclei and cells based on fluorescent microscopy images with high intensity in nuclei and/or membranes. The available functions and their user interface based on magicgui are shown below. You can also call these functions as shown in the demo notebook.
Voronoi-Otsu-Labeling
This algorithm uses Otsu's thresholding method in combination with Gaussian blur and a Voronoi-Tesselation approach to label bright objects such as nuclei in an intensity image. The alogrithm has two sigma parameters which allow you to fine-tune where objects should be cut (spot_sigma) and how smooth outlines should be (outline_sigma). This implementation aims to be similar to Voronoi-Otsu-Labeling in clesperanto.

Seeded Watershed
Starting from an image showing high-intensity membranes and a seed-image where objects have been labeled (e.g. using Voronoi-Otsu-Labeling), objects are labeled that are constrained by the membranes.

Gaussian blur
Applies a Gaussian blur to an image. This might be useful for denoising, e.g. before applying the Threshold-Otsu method.

Subtract background
Subtracts background using scikit-image's rolling-ball algorithm. This might be useful, for example to make intensity of membranes more similar in different regions of an image.

Threshold Otsu
Binarizes an image using scikit-image's threshold Otsu algorithm, also known as Otsu's method.

Split touching objects (formerly known as binary watershed).
In case objects stick together after thresholding, this tool might help. It aims to deliver similar results as ImageJ's watershed implementation.

Connected component labeling
Takes a binary image and produces a label image with all separated objects labeled differently. Under the hood, it uses scikit-image's label function.


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
Download, unzip and install napari from its github releases page: 
Afterwards, go to the menu Plugins > Install/uninstall plugins... and click on the install button next to napari-segment-blobs-and-things-with-membranes: 
You can also install napari-segment-blobs-and-things-with-membranes via pip:
1
pip install napari-segment-blobs-and-things-with-membranes
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license, ""napari-segment-blobs-and-things-with-membranes"" is free and open source software
Issues
If you encounter any problems, please create a thread on image.sc along with a detailed description and tag @haesleinhuepf.

"
,
"napari-aicsimageio","napari-aicsimageio
AICSImageIO for napari. Multiple file format reading directly into napari using pure Python.
Features
•        Supports reading metadata and imaging data for:
o        CZI
o        OME-TIFF
o        TIFF
o        Any formats supported by aicsimageio
o        Any additional format supported by imageio
Plugin Variants

There are two variants of this plugin that are added during installation:
•        aicsimageio-in-memory, which reads an image fully into memory
•        aicsimageio-out-of-memory, which delays reading ZYX chunks until required.
This allows for incredible large files to be read and displayed.
Examples of Features
General Image Reading
All image file formats supported by aicsimageio will be read and all raw data will be available in the napari viewer.
In addition, when reading an OME-TIFF, you can view all OME metadata directly in the napari viewer thanks to ome-types.

Mosaic CZI Reading
When reading CZI images, if the image is a mosaic tiled image, napari-aicsimageio will return the reconstructed image:

Mosaic LIF Reading
When reading LIF images, if the image is a mosaic tiled image, napari-aicsimageio will return the reconstructed image:
"
,
"napari-allencell-segmenter","napari-allencell-segmenter
A plugin that enables 3D image segmentation provided by Allen Institute for Cell Science
A plugin that enables 3D image segmentation provided by Allen Institute for Cell Science
The Allen Cell & Structure Segmenter plugin for napari provides an intuitive graphical user interface to access the powerful segmentation capabilities of an open source 3D segmentation software package developed and maintained by the Allen Institute for Cell Science (classic workflows only with v1.0). The Allen Cell & Structure Segmenter is a Python-based open source toolkit developed at the Allen Institute for Cell Science for 3D segmentation of intracellular structures in fluorescence microscope images. This toolkit brings together classic image segmentation and iterative deep learning workflows first to generate initial high-quality 3D intracellular structure segmentations and then to easily curate these results to generate the ground truths for building robust and accurate deep learning models. The toolkit takes advantage of the high replicate 3D live cell image data collected at the Allen Institute for Cell Science of over 30 endogenous fluorescently tagged human induced pluripotent stem cell (hiPSC) lines. Each cell line represents a different intracellular structure with one or more distinct localization patterns within undifferentiated hiPS cells and hiPSC-derived cardiomyocytes.
More details about Segmenter can be found at https://allencell.org/segmenter
________________________________________
This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
Option 1 (recommended):
After you installed the lastest version of napari, you can go to ""Plugins"" --> ""Install/Uninstall Package(s)"". Then, you will be able to see all available napari plugins and you can find us by name napari-allencell-segmenter. Just click the ""install"" button to install the Segmenter plugin.
Option 2:
You can also install napari-allencell-segmenter via pip:
1
pip install napari-allencell-segmenter
Quick Start
In the current version, there are two parts in the plugin: workflow editor and batch processing. The workflow editor allows users adjusting parameters in all the existing workflows in the lookup table, so that the workflow can be optimized on users' data. The adjusted workflow can be saved and then applied to a large batch of files using the batch processing part of the plugin.
1.        Open a file in napari (the plugin is able to support multi-dimensional data in .tiff, .tif. ome.tif, .ome.tiff, .czi)
2.        Start the plugin (open napari, go to ""Plugins"" --> ""napari-allencell-segmenter"" --> ""workflow editor"")
3.        Select the image and channel to work on
4.        Select a workflow based on the example image and target segmentation based on user's data. Ideally, it is recommend to start with the example with very similar morphology as user's data.
5.        Click ""Run All"" to execute the whole workflow on the sample data.
6.        Adjust the parameters of steps, based on the intermediate results. For instruction on the details on each function and the effect of each parameter, click the tooltip button. A complete list of all functions can be found here
7.        Click ""Run All"" again after adjusting the parameters and repeat step 6 and 7 until the result is satisfactory.
8.        Save the workflow
9.        Close the plugin and open the batch processing part by (go to ""Plugins"" --> ""napari-allencell-segmenter"" --> ""batch processing"")
10.        Load the customized workflow (or an off-the-shelf workflow) json file
11.        Load the folder with all the images to process
12.        Click ""Run""
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license, ""napari-allencell-segmenter"" is free and open source software
"
,
"napari-accelerated-pixel-and-object-classification","napari-accelerated-pixel-and-object-classification
Pixel and label classification using OpenCL-based Random Forest Classifiers
         
clEsperanto meets scikit-learn
A yet experimental OpenCL-based Random Forest Classifier for pixel and labeled object classification in napari.
 The processed example image maize_clsm.tif is licensed by David Legland under CC-BY 4.0 license
For using the accelerated pixel and object classifiers in python, check out apoc.
________________________________________
This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-accelerated-pixel-and-object-classification via pip. Note: you also need pyopencl.
1
2
conda install pyopencl
pip install napari-accelerated-pixel-and-object-classification
In case of issues in napari, make sure these dependencies are installed properly:
1
2
pip install pyclesperanto_prototype
pip install apoc
Usage
[documentation work in progress]
Open an image in napari and add a labels layer. Annotate foreground and background with two different label identifiers. You can also add a third, e.g. a membrane-like region in between to improve segmentation quality. 
Click the menu Plugins > Segmentation (Accelerated Pixel and Object Classification) > Train pixel classifier. Consider changing the featureset. There are three options for selecting small (about 1 pixel sized) objects, medium (about 5 pixel sized) object and large (about 25 pixel sized) objects. Make sure the right image and annotation layers are selected and click on Run.

The classifier was saved as temp.cl to disc. You can later re-use it by clicking the menu Plugins > OpenCL Random Forest Classifiers > Predict pixel classifier
Optional: Hide the annotation layer.
Click the menu Plugins > Segmentation (Accelerated Pixel and Object Classification) > Connected Component Labeling. Make sure the right labels layer is selected. It is supposed to be the result layer from the pixel classification. Select the object class identifier you used for annotating objects, that's the intensity you drew on objects in the annotation layer. Hint: If you want to analyse touching neigbors afterwards, activate the fill gaps between labels checkbox. Click on the Run button. 
Optional: Hide the pixel classification result layer. Change the opacity of the connected component labels layer.
Add a new labels layer and annotate different object classes by drawing lines through them. In the following example objects with different size and shape were annotated in three classes:
•        round, small
•        round, large
•        elongated

Click the menu Plugins > Segmentation (Accelerated Pixel and Object Classification) > Train object classifier. Select the right layers for training. The labels layer should be the result from connected components labeling. The annotation layer should be the just annotated object classes layer. Select the right features for training. Click on the Run button. After training, the classifier will be stored to disc in the file you specified. You can later re-use it by clicking the menu Plugins > Segmentation (Accelerated Pixel and Object Classification) > Predict label classifier

This is an experimental napari plugin. Feedback is very welcome!
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license, ""napari-accelerated-pixel-and-object-classification"" is free and open source software

"
,
napari-brightness-contrast,"napari-brightness-contrast
Advanced layer visualization options
         
Advanced layer histogram visualization options, e.g. for brightness / contrast 
Note: This will not work for big image data at the moment. If the user interface feels slow, consider installing pyclesperanto to speed it up.
________________________________________
This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-brightness-contrast via pip:
1
pip install napari-brightness-contrast
Contributing
Contributions are very welcome.
License
Distributed under the terms of the BSD-3 license, ""napari-brightness-contrast"" is free and open source software

"
,
